Aircraft_ID,Aircraft.Category,Engine.Type,Registration.Number,Number.of.Engines,Make,Model,Aircraft.damage
1877,Airplane,Reciprocating,N5224W,1,Piper,PA-36,Substantial
1878,Airplane,Reciprocating,N24890,1,Boeing,N2S-1-A-75A,Substantial
1879,Airplane,Reciprocating,N621Z,1,Piper,PA28-201T,Substantial
1880,Airplane,Reciprocating,N5356P,1,Cessna,P-210N,Substantial
1881,Airplane,Reciprocating,N61130,1,Piper,PA-28,Substantial
1882,Airplane,Reciprocating,N60PS,1,Cessna,152,Substantial
1883,Airplane,Reciprocating,N32NA,1,Beech,B35,Substantial
1884,Airplane,Reciprocating,N7550J,1,Piper,PA-24-250,Substantial
1885,Airplane,Reciprocating,N8537P,1,Cessna,150J,Substantial
1886,Airplane,Reciprocating,N9717F,1,Cessna,182,Substantial
1887,Airplane,Reciprocating,N6897B,1,Grumman American,AA-1B,Substantial
1888,Airplane,Reciprocating,N9635J,1,Piper,PA-28-180R,Substantial
1889,Airplane,Reciprocating,N87280,1,Junior Ace,D,Substantial
1890,Airplane,Reciprocating,N7745Q,1,Cessna,170B,Substantial
1891,Airplane,Reciprocating,N6907Q,1,Piper,PA-18-150,Substantial
1892,Airplane,Reciprocating,N3997P,1,Cessna,T188C,Substantial
1893,Airplane,Reciprocating,N4979Y,2,Cessna,402B,Substantial
1894,Airplane,Reciprocating,N6538S,1,Cessna,310,Substantial
1895,Airplane,Reciprocating,N888N,1,Beech,A23-19,Destroyed
1896,Airplane,Reciprocating,N81382,1,Piper,PA-18,Destroyed
1897,Airplane,Reciprocating,N95540,1,Piper,PA-25,Destroyed
1898,Airplane,Reciprocating,N11690,1,Cessna,150H,Destroyed
1899,Airplane,Reciprocating,N78118,2,Cessna,340,Substantial
1900,Airplane,Reciprocating,N2861A,1,Grumman,AA-5B,Substantial
1901,Airplane,Reciprocating,N4371X,1,Cessna,182Q,Substantial
1902,Airplane,Reciprocating,N59572,1,Bellanca,7GCBC,Substantial
1903,Airplane,Reciprocating,N9255Z,1,Globe,GC-1B,Substantial
1904,Airplane,Reciprocating,N28970,1,Cessna,180,Substantial
1905,Airplane,Reciprocating,N1302F,1,Piper,PA-32-300,Substantial
1906,Helicopter,Turbo Shaft,N555KC,2,Bell,212,Substantial
1907,Glider,Unknown,N90639,0,Lark (i.c.a.),IS28B2,Destroyed
1908,Airplane,Reciprocating,N77697,1,Gulfstream American,AA-5B,Destroyed
1909,Airplane,Reciprocating,N9319D,1,Cessna,172N,
1910,Airplane,Reciprocating,N5429B,1,Piper,PA-28-140,Substantial
1911,Glider,Unknown,N9792P,0,Blanik,L-13,Substantial
1912,Airplane,Reciprocating,N5637L,1,Fairchild,24R-46A,Substantial
1913,Airplane,Reciprocating,N4657,1,Piper,PA-22-160,Substantial
1914,Airplane,Reciprocating,N6678K,1,Cessna,182,Substantial
1915,Airplane,Reciprocating,N2434E,1,Piper,PA-25D-260,Substantial
1916,,Reciprocating,N82168,1,Grumman,AA-1,Destroyed
1917,Airplane,Reciprocating,N3171M,1,Grumman,G-164A,Destroyed
1918,Airplane,Reciprocating,N52192,1,Grumman,G-164B,Destroyed
1919,Airplane,Reciprocating,N15970,1,Champion,7AC,Destroyed
1920,Airplane,Reciprocating,N2949M,1,Piper,PA-18-150,Substantial
1921,Airplane,Reciprocating,N25187,1,Piper,PA-12,Substantial
1922,Airplane,Reciprocating,N41039,1,Cessna,180J,Substantial
1923,Airplane,Reciprocating,N6444K,1,Piper,PA-28-180,Substantial
1924,Airplane,Reciprocating,N8902F,1,Piper,PA-12,Substantial
1925,Airplane,Reciprocating,N9891W,1,Piper,PA-38-112,Substantial
1926,Airplane,Reciprocating,N5276D,1,Piper,PA-18,Substantial
1927,Airplane,Reciprocating,N5610X,1,Republic,RC-3,Substantial
1928,Helicopter,Reciprocating,N48635,1,Hughes,269A,Substantial
1929,Airplane,Reciprocating,N27GP,1,Piper,PA-28-140,Substantial
1930,Airplane,Reciprocating,N6234L,1,Cessna,180,Substantial
1931,Airplane,Reciprocating,N10015,1,Rockwell Int't,S2R,Substantial
1932,Airplane,Reciprocating,N1456G,1,Grumman,G-164A,Substantial
1933,Airplane,Turbo Prop,N225NY,2,Mitsubishi,MU-2B,Destroyed
1934,Airplane,Reciprocating,N2744Q,1,Cessna,152,Destroyed
1935,Airplane,Reciprocating,N6628E,1,Cessna,305A,Substantial
1936,Airplane,Reciprocating,N8277D,2,Beech,95-A55,Substantial
1937,Airplane,Reciprocating,N28872,1,Piper,PA-18,Substantial
1938,Airplane,Reciprocating,N7234,1,Cessna,A185F,Substantial
1939,Airplane,Reciprocating,N8230U,1,Beech,C23,Substantial
1940,Airplane,Reciprocating,N7584V,1,Piper,PA-28RT-201,Substantial
1941,Helicopter,Turbo Shaft,N75802,1,Hiller,UH-12E,Substantial
